
( 0.000000 ) 	 [9]
( 39.033382 ) 	 [5673]

( 39.033401 ) 	 [5689]

( 39.034039 ) 	 [5705]

( 39.034054 ) 	 [5721]

( 39.034039 ) 	 [5737]

( 39.034039 ) 	 [5753]

( 39.034039 ) 	 [5769]

( 39.034042 ) 	 [5785]

( 39.034039 ) 	 [5801]

( 39.034039 ) 	 [5817]

( 39.034039 ) 	 [5833]

( 39.034042 ) 	 [5849]

( 39.034042 ) 	 [5865]

( 39.034061 ) 	 [5881]

( 40.034565 ) 	 [5897]

Latitud [-31.2645855 ]

( 40.034565 ) 	 [5913]

( 40.034565 ) 	 [5929]

( 40.034565 ) 	 [5945]

( 40.034565 ) 	 [5961]

( 39.034691 ) 	 [5977]

( 39.034706 ) 	 [5993]

( 39.034695 ) 	 [6009]

( 39.034695 ) 	 [6025]

( 39.034695 ) 	 [6041]

( 39.034695 ) 	 [6057]

( 39.034695 ) 	 [6073]

( 39.034695 ) 	 [6089]

( 39.034714 ) 	 [6105]

( 39.035347 ) 	 [6121]

( 39.035362 ) 	 [6137]

( 39.035347 ) 	 [6153]

( 39.035347 ) 	 [6169]

( 39.035347 ) 	 [6185]

( 39.035355 ) 	 [6201]

( 39.035347 ) 	 [6217]

( 39.035355 ) 	 [6233]

( 39.035347 ) 	 [6249]

( 39.035355 ) 	 [6265]

( 39.035347 ) 	 [6281]

( 39.035370 ) 	 [6297]

( 39.035999 ) 	 [6313]

( 39.036015 ) 	 [6329]

( 39.036003 ) 	 [6345]

( 39.036003 ) 	 [6361]

( 39.036003 ) 	 [6377]

( 39.036003 ) 	 [6393]

( 39.036003 ) 	 [6409]

( 39.036003 ) 	 [6425]

( 39.036022 ) 	 [6441]

( 39.036655 ) 	 [6457]

( 39.036674 ) 	 [6473]

( 39.036659 ) 	 [6489]

( 39.036659 ) 	 [6505]

( 39.036659 ) 	 [6521]

